CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis
9001902,SC,89,20664948.0,232190.42696629214,51,72
7420001,MT,1,72000.0,72000.0,1,1
8230001,BA,40,20978079.0,524451.975,31,30
9521500,SP,32,1127278.0,35227.4375,17,15
7420004,PR,5,1373500.0,274700.0,4,4
1531901,SP,2,17100.0,8550.0,1,1
8230001,PB,16,4008076.0,250504.75,12,13
2539001,CE,2,241990.0,120995.0,2,2
3319800,PA,1,67000.0,67000.0,1,1
7420001,SP,12,9418229.0,784852.4166666666,10,12
5611203,76280005,26,84410.0,3246.5384615384614,1,1
9511800,DF,6,1883631.0,313938.5,5,2
8230001,ES,25,3574100.0,142964.0,19,16
4743100,MG,8,1170036.0,146254.5,7,5
4759801,BA,11,1585721.0,144156.45454545456,5,2
7729202,MT,1,174000.0,174000.0,1,1
4930201,SP,19,3808637.0,200454.57894736843,14,13
4520005,VILA NOVA,21,149250.0,7107.142857142857,1,1
7729202,SP,13,42446491.0,3265114.6923076925,7,7
8599604,80730460,1,120000.0,120000.0,1,1
4520005,SC,15,23567853.0,1571190.2,14,13
7319002,SP,35,6271234.0,179178.11428571428,25,20
5620104,PB,6,1042385.0,173730.83333333334,3,1
4761003,VILA GRIMPAS,1,2111673.0,2111673.0,1,1
4712100,MG,9,1831270.0,203474.44444444444,6,7
8219999,DF,3,12982.0,4327.333333333333,2,2
1813099,RS,13,497598.0,38276.769230769234,11,3
3314702,RS,1,12000.0,12000.0,1,1
1813001,RS,7,724073.0,103439.0,6,6
3299002,RS,5,26525.0,5305.0,1,1
4721102,PR,3,650890.0,216963.33333333334,2,2
7420004,RN,5,1750180.0,350036.0,5,3
5620104,ES,3,725930.0,241976.66666666666,3,1
1813001,GO,7,425980.0,60854.28571428572,3,2
4744099,MG,4,190464.0,47616.0,4,4
1749400,PR,1,24750.0,24750.0,1,1
5590699,BA,2,540560.0,270280.0,2,2
6399200,PE,1,28000.0,28000.0,1,1
4520003,PR,3,20554898.0,6851632.666666667,2,3
1411801,MG,1,264000.0,264000.0,1,1
4789007,GO,1,7400.0,7400.0,1,1
4763603,76280000,1,165000.0,165000.0,1,1
1813099,GO,9,92300.0,10255.555555555555,4,1
7729202,SITIOS VALE DAS BRISAS,1,15320.0,15320.0,1,1
4789001,GO,3,44875.0,14958.333333333334,2,1
3299099,PE,5,1200250.0,240050.0,5,3
5812302,PR,1,1.0,1.0,1,1
9001902,22730020,1,80000.0,80000.0,1,1
9609299,MG,8,545000.0,68125.0,6,7
4930204,ES,1,308000.0,308000.0,1,1
9529102,76270000,1,5500.0,5500.0,1,1
0159802,PR,4,19400.0,4850.0,1,1
5212500,SC,3,1348834.0,449611.3333333333,1,1
6190699,ES,2,5203857.0,2601928.5,2,1
4789001,RS,9,555000.0,61666.666666666664,7,8
4755502,PE,2,246400.0,123200.0,2,2
1749400,SE,1,25000.0,25000.0,1,1
4763602,MG,1,1077254.0,1077254.0,1,1
4783102,ES,2,110000.0,55000.0,2,1
9601701,SC,1,50400.0,50400.0,1,1
4761003,PR,3,5010486.0,1670162.0,3,3
5223100,MG,3,1704000.0,568000.0,2,3
1822901,RN,2,520000.0,260000.0,1,2
1091101,RJ,3,289590.0,96530.0,3,1
5620101,SP,10,1498125.0,149812.5,3,2
9529104,PR,1,28500.0,28500.0,1,1
4751201,MS,1,623720.0,623720.0,1,1
0161003,PR,2,6734035.0,3367017.5,1,2
5620104,BA,18,33114229.0,1839679.388888889,9,12
4520001,SC,1,158330.0,158330.0,1,1
8599604,SC,9,1499368.0,166596.44444444444,9,7
7420001,80035250,1,64800.0,64800.0,1,1
7420002,JARDIM BELA VISTA,1,270000.0,270000.0,1,1
4744001,DF,1,0.0,0.0,1,1
5590603,BA,2,1707480.0,853740.0,1,1
4761003,RJ,2,432877.0,216438.5,2,1
1096100,MG,6,1024321.0,170720.16666666666,5,5
4530703,BA,6,13314064.0,2219010.6666666665,3,6
1821100,PE,1,134380.0,134380.0,1,1
4761003,RN,2,444273.0,222136.5,2,1
2599399,RS,2,216500.0,108250.0,2,2
4721102,PI,1,350000.0,350000.0,1,1
4329101,RS,1,14800.0,14800.0,1,1
4756300,MG,2,544000.0,272000.0,2,2
8230001,22783115,1,800000.0,800000.0,1,1
4729699,SC,1,112000.0,112000.0,1,1
1351100,RS,1,34800.0,34800.0,1,1
8712300,76360000,1,400000.0,400000.0,1,1
8599699,TO,1,380000.0,380000.0,1,1
4789007,RS,1,37770.0,37770.0,1,1
1091101,RN,1,312784.0,312784.0,1,1
4782201,MG,2,724125.0,362062.5,2,2
4713002,BA,2,431200.0,215600.0,2,2
9329899,PA,1,110000.0,110000.0,1,1
1091101,PI,1,600000.0,600000.0,1,1
5819100,74393120,3,324384.0,108128.0,3,1
5811500,SETOR JAO,1,1239000.0,1239000.0,1,1
1352900,GO,6,309003.0,51500.5,3,2
3101200,76265000,2,16400.0,8200.0,1,1
7420004,RJ,1,315334.0,315334.0,1,1
4752100,PE,1,360000.0,360000.0,1,1
4520003,RN,1,14295000.0,14295000.0,1,1
3702900,PR,3,1419810.0,473270.0,3,1
7420004,SE,2,338400.0,169200.0,2,2
9700500,GO,2,374200.0,187100.0,2,2
9002702,SC,2,540405.0,270202.5,2,2
1412601,76270000,3,699890.0,233296.66666666666,2,1
3299002,GO,3,15000.0,5000.0,1,1
7319002,JARDIM GOIAS,1,109740.0,109740.0,1,1
9521500,MT,2,38000.0,19000.0,1,1
8592902,74655130,1,20300.0,20300.0,1,1
2740602,PR,1,93645.0,93645.0,1,1
3314709,SP,1,110000.0,110000.0,1,1
2532201,SC,1,85000.0,85000.0,1,1
5912099,SETOR NOSSA SENHORA DA PIEDADE,1,175614.0,175614.0,1,1
4789005,PB,2,1171722.0,585861.0,2,2
5320201,RJ,1,2893416.0,2893416.0,1,1
4329101,GO,3,181500.0,60500.0,3,1
9001902,24230540,1,165000.0,165000.0,1,1
4789005,BA,1,16400.0,16400.0,1,1
8299703,TO,1,6750.0,6750.0,1,1
4930204,PB,1,714030.0,714030.0,1,1
1412603,NOVA VILA JAIARA,3,270474.0,90158.0,3,1
3329501,14061470,1,260000.0,260000.0,1,1
3240099,RS,1,129040.0,129040.0,1,1
8299707,SP,1,117600.0,117600.0,1,1
8599699,76305000,1,259360.0,259360.0,1,1
4744004,GO,1,27000.0,27000.0,1,1
4721103,SC,64,883575.0,13805.859375,33,1
7420001,GO,19,4990780.0,262672.63157894736,12,9
5320201,PA,1,66500.0,66500.0,1,1
4924800,BA,147,586748653.0,3991487.4353741496,20,143
4754701,BA,5,1629234.0,325846.8,4,1
4930201,GO,21,7106623.0,338410.61904761905,11,7
9329899,RN,1,36000.0,36000.0,1,1
4781400,MG,39,10736188.0,275286.8717948718,30,13
4755501,MG,5,339809.0,67961.8,3,1
1813001,75833424,5,125000.0,25000.0,1,1
9329899,PR,12,3712490.0,309374.1666666667,5,5
3313901,MG,2,902800.0,451400.0,2,2
4541206,RS,1,126000.0,126000.0,1,1
8230002,CE,3,639116.0,213038.66666666666,1,1
9521500,GO,3,36000.0,12000.0,2,2
9001901,RJ,13,6303485.0,484883.46153846156,7,6
8599605,SC,1,85000.0,85000.0,1,1
9602502,MG,2,46000.0,23000.0,1,1
7729202,RS,18,1075150.0,59730.555555555555,6,5
3299002,SP,4,6150.0,1537.5,2,2
1412602,MG,7,408961.0,58423.0,5,6
2512800,SC,2,4737782.0,2368891.0,2,2
8130300,PR,5,7994156.0,1598831.2,4,5
7729202,GO,15,1285680.0,85712.0,11,9
9602501,SC,7,7578188.0,1082598.2857142857,7,7
1093701,MG,5,1112160.0,222432.0,4,3
4751201,MG,30,3993562.0,133118.73333333334,25,20
3314702,SP,2,152400.0,76200.0,1,1
3240099,SP,1,160000.0,160000.0,1,1
1813099,SP,10,1852250.0,185225.0,3,3
8592903,TO,1,50000.0,50000.0,1,1
4321500,SC,9,9085664.0,1009518.2222222222,9,9
9529102,SC,5,343490.0,68698.0,4,3
5612100,RO,8,1835114.0,229389.25,7,1
4789001,SP,7,124178.0,17739.714285714286,6,2
9521500,RS,6,2664150.0,444025.0,4,5
4789003,PR,3,1375429.0,458476.3333333333,2,1
4923001,PB,3,1134240.0,378080.0,2,3
4773300,MG,1,517500.0,517500.0,1,1
9601703,SP,3,235528.0,78509.33333333333,2,2
8592999,PE,10,790300.0,79030.0,6,8
4789007,SP,15,742289.0,49485.933333333334,11,3
4330405,SE,11,1500471.0,136406.45454545456,3,2
3101200,BA,5,17755340.0,3551068.0,4,4
4520001,76730000,2,41000.0,20500.0,1,1
7319002,GO,10,1395177.0,139517.7,8,6
4399103,PE,3,213000.0,71000.0,1,1
9329899,RJ,4,265000.0,66250.0,1,1
4924800,PB,22,29225376.0,1328426.1818181819,7,20
7420001,RS,26,11164642.0,429409.3076923077,20,20
9001901,SE,2,80000.0,40000.0,1,2
4743100,73970000,1,8200.0,8200.0,1,1
5620101,RS,1,21640.0,21640.0,1,1
7319002,RS,9,1698090.0,188676.66666666666,8,8
8599603,RJ,1,0.0,0.0,1,1
9511800,73760000,1,474000.0,474000.0,1,1
9001901,PR,142,11448123.0,80620.58450704225,7,72
1359600,JARDIM VITORIA,3,622000.0,207333.33333333334,1,1
7990200,SC,2,254050.0,127025.0,2,1
8219999,CE,9,8140924.0,904547.1111111111,5,5
8599603,RN,1,180000.0,180000.0,1,1
4924800,ES,2,740065.0,370032.5,2,2
8129000,77003338,1,430680.0,430680.0,1,1
3319800,RJ,1,270000.0,270000.0,1,1
4774100,PB,2,624578.0,312289.0,2,2
3101200,ES,3,327000.0,109000.0,2,1
9700500,SP,3,224000.0,74666.66666666667,2,2
4329101,SP,4,729860.0,182465.0,3,3
4712100,AM,1,47826.0,47826.0,1,1
1352900,SP,1,3600.0,3600.0,1,1
8599699,12221520,2,218400.0,109200.0,1,1
5812301,CE,1,167880.0,167880.0,1,1
5611204,SC,3,149646.0,49882.0,1,2
4763601,MG,1,999999.0,999999.0,1,1
4756300,MS,2,180000.0,90000.0,1,1
4759899,SC,2,117626.0,58813.0,2,1
3811400,BA,4,3696440.0,924110.0,3,4
1813001,SP,4,154110.0,38527.5,3,3
8230001,ASA SUL,1,65000.0,65000.0,1,1
4923001,BA,31,133353580.0,4301728.387096774,3,31
5611203,RO,2,69240.0,34620.0,2,2
7319099,75460000,2,785600.0,392800.0,2,1
4789007,MT,6,3642295.0,607049.1666666666,3,1
3101200,PB,1,650000.0,650000.0,1,1
5811500,BA,1,31450.0,31450.0,1,1
4930201,RS,6,8125681.0,1354280.1666666667,5,5
4789099,ES,2,346980.0,173490.0,2,2
4930202,SC,1,25000.0,25000.0,1,1
1531901,GO,1,318250.0,318250.0,1,1
4789002,ES,3,125540.0,41846.666666666664,2,2
4723700,RO,1,17500.0,17500.0,1,1
1351100,SP,1,82950.0,82950.0,1,1
5912001,SC,2,24000.0,12000.0,1,1
1412601,78600000,8,332895.0,41611.875,4,1
4763602,MS,2,51585.0,25792.5,2,1
3299003,MG,1,0.0,0.0,1,1
4789099,BA,4,6071807.0,1517951.75,3,3
7721700,CE,1,637260.0,637260.0,1,1
9700500,TEREZA CRISTINA,2,156600.0,78300.0,1,1
8599603,PR,2,474576.0,237288.0,2,2
4751201,13254413,1,2800.0,2800.0,1,1
5611201,RO,2,383472.0,191736.0,2,2
5812301,RO,1,362310.0,362310.0,1,1
5813100,MS,1,3399594.0,3399594.0,1,1
9511800,CE,7,1207200.0,172457.14285714287,5,2
2342702,75398000,1,390000.0,390000.0,1,1
8291100,RS,2,164800.0,82400.0,1,1
4712100,MS,1,228750.0,228750.0,1,1
8599699,CASA,1,15000.0,15000.0,1,1
4330404,BA,1,6118464.0,6118464.0,1,1
7723300,SC,1,81060.0,81060.0,1,1
4329101,APT 803,1,133400.0,133400.0,1,1
4744099,MS,2,217086.0,108543.0,2,1
9529105,DF,2,596499.0,298249.5,2,2
4520002,TO,1,145890.0,145890.0,1,1
1813099,76105000,3,139900.0,46633.333333333336,3,1
3299003,MA,1,644240.0,644240.0,1,1
4789002,BA,1,304680.0,304680.0,1,1
4761003,PA,1,653249.0,653249.0,1,1
0161003,PA,1,790800.0,790800.0,1,1
4330404,ES,1,230000.0,230000.0,1,1
7319099,77433270,1,18000.0,18000.0,1,1
5819100,PE,1,148920.0,148920.0,1,1
4789099,PB,1,102000.0,102000.0,1,1
4742300,RS,29,923106.0,31831.241379310344,5,5
5611201,BA,22,35315763.0,1605261.9545454546,11,17
5611203,BA,14,16822175.0,1201583.9285714286,9,9
8592999,SP,281,170430652.0,606514.7758007117,62,175
4751201,PR,16,5820988.0,363811.75,7,5
5819100,SP,9,1329866.0,147762.88888888888,7,6
4399103,SP,72,13696204.0,190225.05555555556,26,27
4712100,PA,2,19950.0,9975.0,1,1
9511800,ES,3,215879.0,71959.66666666667,3,3
4722901,RS,7,51640.0,7377.142857142857,1,1
4752100,RS,8,2145054.0,268131.75,5,4
2542000,BA,8,20405762.0,2550720.25,7,7
4330499,SP,12,3154457.0,262871.4166666667,8,8
8230002,ES,3,445430.0,148476.66666666666,3,1
4751201,RJ,8,56478908.0,7059863.5,6,6
8219999,BA,11,1148490.0,104408.18181818182,4,4
9001901,MG,12,1379220.0,114935.0,9,9
9001906,SC,3,227500.0,75833.33333333333,3,3
9001902,99250000,2,160000.0,80000.0,2,1
9329899,MG,8,1062784.0,132848.0,7,5
4789008,PB,1,541000.0,541000.0,1,1
4399103,MT,3,803640.0,267880.0,1,3
9001906,77816060,1,10000.0,10000.0,1,1
1629301,SP,5,469400.0,93880.0,4,4
7319099,BA,19,2930488.0,154236.2105263158,9,10
0161003,MS,1,837408.0,837408.0,1,1
4773300,RJ,1,213628.0,213628.0,1,1
