CNAE,UF,score,ranking,count_contratos,valor_medio,n_orgaos
9001902,SC,100.0,1,89,232190.4269662921,51
4520005,SC,100.0,2,15,1571190.2,14
7729202,SP,100.0,3,13,3265114.6923076925,7
4520005,VILA NOVA,100.0,4,21,7107.142857142857,1
4321500,GO,100.0,5,13,145533.07692307694,10
7319002,SP,100.0,6,35,179178.11428571428,25
4712100,BA,100.0,7,13,1224390.076923077,10
4541206,PR,100.0,8,14,230068.57142857145,1
7319002,PR,100.0,9,76,67887.65789473684,48
9001902,SP,100.0,10,369,501552.4878048781,86
5620104,MG,100.0,11,12,281410.0,10
4761003,CE,100.0,12,13,673082.1538461539,2
9001902,AL,100.0,13,13,167769.23076923078,5
4520001,SP,100.0,14,41,188325.1219512195,16
8230001,MG,100.0,15,74,196086.95945945947,55
4321500,RS,100.0,16,70,890040.4857142858,33
9529102,RS,100.0,17,29,171781.10344827586,6
9602501,RS,100.0,18,16,172010.875,11
7319099,76280000,100.0,19,14,147132.42857142858,1
8599604,SP,100.0,20,41,171487.46341463414,26
7319002,RJ,100.0,21,15,37555.13333333333,15
9329899,RS,100.0,22,12,35401.666666666664,10
5620104,BA,100.0,23,18,1839679.388888889,9
4322302,BA,100.0,24,15,2577896.2,11
8130300,RS,100.0,25,14,2283087.214285714,13
1822901,SP,100.0,26,18,24514.5,11
4721102,SP,100.0,27,25,94105.76,4
9001901,RS,100.0,28,29,151071.8620689655,15
7420001,PR,100.0,29,10,82365.0,10
4724500,GO,100.0,30,66,28699.166666666668,6
3600602,BA,100.0,31,12,8822554.833333334,4
4399199,SP,100.0,32,23,122184.56521739133,8
8592999,RS,100.0,33,47,264263.74468085106,31
4399103,GO,100.0,34,13,1176368.3076923075,8
4399103,RS,100.0,35,48,454548.5208333333,31
8230001,CE,100.0,36,12,958768.5833333334,9
3314707,SP,100.0,37,20,1055257.9,7
8712300,SP,100.0,38,15,182111.46666666667,7
4520006,GO,100.0,39,73,61081.06849315069,11
8230001,RN,100.0,40,13,195000.0,12
9001906,GO,100.0,41,17,522894.7647058824,9
4712100,CE,100.0,42,19,581703.4736842106,3
8230001,RJ,100.0,43,26,160274.38461538462,23
4520006,RS,100.0,44,42,428314.59523809527,10
8599699,RS,100.0,45,23,468306.347826087,18
8592903,SC,100.0,46,20,243127.35,17
5611203,MG,100.0,47,16,486251.6875,14
3299099,SP,100.0,48,14,141302.7142857143,12
